Tanggal,Produk,Kategori,Harga,Jumlah
2024-01-01,Sepatu Run,Fashion,450000,2
2024-01-02,Sunscreen SPF50,Kecantikan,120000,5
2024-01-03,Laptop Pro 14,Elektronik,12500000,1
2024-01-04,Mouse Wireless,Elektronik,250000,3
2024-01-05,Meja Kerja Kayu,Perabotan,850000,1
2024-01-06,Vitamin C 500mg,Kesehatan,85000,10
2024-01-07,Monitor 24 Inch,Elektronik,1800000,2
2024-01-08,Kemeja Flanel,Fashion,210000,3
2024-01-09,Serum Wajah,Kecantikan,175000,2
2024-01-10,Kursi Ergonomis,Perabotan,1200000,1
2024-01-11,Masker Medis,Kesehatan,35000,20
2024-01-12,Mechanical Keyboard,Elektronik,750000,2
2024-01-13,Lipstick Matte,Kecantikan,95000,4
2024-01-14,Lampu Cerdas RGB,Elektronik,150000,5
2024-01-15,Blender Portabel,Perabotan,300000,2
2024-01-16,Parasetamol,Kesehatan,15000,15
2024-01-17,Hoodie Oversize,Fashion,280000,2
2024-01-18,SSD Eksternal 1TB,Elektronik,1450000,1
2024-01-19,Moisturizer Gel,Kecantikan,130000,3
2024-01-20,Rak Buku Minimalis,Perabotan,550000,1
2024-01-21,Botol Minum 1L,Perabotan,75000,6
2024-01-22,Earbuds Bluetooth,Elektronik,500000,4
2024-01-23,Celana Chino,Fashion,260000,2
2024-01-24,Timbangan Digital,Kesehatan,120000,1
2024-01-25,Facial Wash,Kecantikan,65000,6
2024-01-26,Webcam 1080p,Elektronik,450000,1
2024-01-27,Sajadah Travel,Fashion,95000,5
2024-01-28,Panci Anti Lengket,Perabotan,225000,2
2024-01-29,Termometer Infrared,Kesehatan,180000,3
2024-01-30,Tas Backpack,Fashion,350000,2
2024-01-31,Microwave Mini,Perabotan,950000,1
2024-02-01,Krim Malam,Kecantikan,210000,2
2024-02-02,Hand Sanitizer,Kesehatan,25000,10
2024-02-03,Kabel Data Type-C,Elektronik,45000,8